Adapted from the list of Gaia acronyms maintained by Jos de Bruijne.
See also LSST-specific acronyms in lsstacronyms.txt.

1D         : One-dimensional
FoM        : Figure of Merit
FoV        : Field of View (also denoted FOV)
FPGA       : Field-Programmable Gate Array
FS         : File System
FTE        : Full Time Equivalent
FWHM       : Full Width at Half-Maximum
Gb         : Gigabit
GB         : Gigabyte
gcc        : The GNU Compiler Collection; a C and C++ compiler
GCN        : GRB Coordinates Network
GLONASS    : GLObal NAvigation Satellite System
GPFS       : General Parallel File System (now IBM Spectrum Scale)
GPL        : GNU Public License
GPS        : Global Positioning System
GRB        : Gamma-Ray Burst
GST        : Greenwich Sidereal Time
GUI        : Graphical User Interface
HEALPix    : Hierarchical Equal-Area iso-Latitude Pixelisation
HSC        : Hyper Suprime-Cam
HST        : Hubble Space Telescope
HTM        : Hierarchical Triangular Mesh
HTML       : HyperText Markup Language
HTTP       : HyperText Transfer Protocol
HW         : HardWare
I&T        : Integration and Test
IAU        : International Astronomical Union
IDL        : Interactive Data Language
IoA        : Institute of Astronomy (Cambridge; also denoted IOA)
IPAC       : No longer an acronym; science and data center at Caltech
IRSA       : Infrared Science Archive
IT         : Information Technology
ITIL       : Information Technology Infrastructure Library
IVOA       : International Virtual-Observatory Alliance
JD         : Julian Date
JDBC       : Java DataBase Connectivity
JHU        : Johns Hopkins University
JIRA       : issue tracking product (not an acronym, but a truncation of Gojira, the Japanese name for Godzilla)
JPL        : Jet Propulsion Laboratory (DE ephemerides)
JRE        : Java Runtime Environment
JVM        : Java Virtual Machine
JWST       : James Webb Space Telescope (formerly known as NGST)
KBO        : Kuiper-Belt Object
kbps       : kilobits per second
LAN        : Local Area Network
LAPACK     : Linear Algebra PACKage
LASER      : Light Amplification by Stimulated Emission of Radiation
LaTeX      : (Leslie) Lamport TeX (document markup language and document preparation system)
LCO        : Las Cumbres Observatories
LED        : Light-Emitting Diode
LHC        : Large Hadron Collider (at CERN)
LPGL       : Lesser Public GNU general License
LUT        : Look-Up Table
Mb         : Megabit (1,000,000 bit)
MB         : MegaByte
MBps       : Megabits per second
MC         : Monte-Carlo (simulation/process)
MCMC       : Monte Carlo Markov Chain
MIDAS      : Munich Image Data Analysis System (ESO)
MJD        : Modified Julian Date (to be avoided; see also JD)
MOSFET     : Metal-Oxide Semiconductor Field-Electric Transistor
MREFC      : Major Research Equipment and Facilities Construction (NSF)
MSB        : Most Significant Bit
NAOJ       : National Astronomical Observatory of Japan
NASA       : National Aeronautics and Space Administration
NCSA       : National Center for Supercomputing Applications
NEO        : Near-Earth Object
NFS        : Network File System
NIST       : National Institute of Standards and Technology (USA)
NOAO       : National Optical Astronomy Observatories (USA)
NSF        : National Science Foundation
OBS        : Organisation Breakdown Structure
OS         : Operating System
Pan-STARRS : Panoramic Survey Telescope and Rapid Response System
PB         : PetaByte
PCA        : Principal Component Analysis
PDF        : Portable Document Format
PDF        : Probability Density Function
PFS        : Prime Focus Spectrograph
PLL        : Phase-Locked Loop
POSIX      : Portable Operating System Interface
PSF        : Point Spread Function
QA         : Quality Assurance
QC         : Quality Control
RA         : Right Ascension
RAID       : Redundant Array of Inexpensive Disks
RAL        : Rutherford Appleton Laboratory (UK)
RAM        : Random Access Memory
REUNA      : Red Universitaria Nacional
RMS        : Root-Mean-Square
ROOT       : Object-oriented data analysis framework developed at CERN
RS232C     : Standard 25-pin serial connection between computers and modems
SaaS       : Software as a Service
SAMP       : Simple Application Messaging Protocol
SDSS       : Sloan Digital Sky Survey
SI         : Syst\`eme International (International System of units, defined by ISO)
SLA        : Service Level Agreement
SOAP       : Simple Object Access Protocol
SODA       : Server-side Operations for Data Access
SPI        : Schedule Performance Index
SQL        : Structured Query Language
SSD        : Solid-State Disk
SSH        : Secure SHell
stdin      : standard input
stdout     : standard output
SW         : Software (also denoted S/W)
TAI        : International Atomic Time
TAP        : Table Access Protocol
TB         : TeraByte
TBA        : To Be Announced
TBA        : To Be Assigned
TBC        : To Be Confirmed
TBD        : To Be Defined (Determined)
TBR        : To Be Resolved
TFLOP      : Tera FLOP
TOPCAT     : Tool for OPerations on Catalogues And Tables
UCL        : University College London (UK)
UDP        : User Datagram Protocol
UI         : User Interface
US         : United States
USNO       : United States Naval Observatory
UT         : Universal Time
UT1        : Universal Time 1
UTC        : Coordinated Universal Time
UW         : University of Washington
UX         : User Experience
VLA        : Very Large Array (NRAO)
VLBA       : Very Long Baseline Array
VLBI       : Very Long Baseline Interferometry
VLT        : Very Large Telescope (ESO)
VLTI       : Very Large Telescope Interferometer (ESO)
VM         : Virtual Machine
VO         : Virtual Observatory
WAN        : Wide Area Network
WBS        : Work Breakdown Structure
WCS        : World Coordinate System
WISE       : Wide-field Survey Explorer
WSDL       : Web Services Description Language
XHTML      : eXtensible HyperText Markup Language
XML        : eXtensible Markup Language
XMM        : X-ray Multi-mirror Mission (ESA; officially known as XMM-Newton)
XSD        : XML Schema Definition
XSL        : eXtensible Stylesheet Language
XSLT       : eXtensible Stylesheet Language Transformation
