Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
CEE,"Communications, Education, and Engagement",OPS,,,A
CEP,Cost Estimating Plan,OPS,,,A
CEPP,COVID-19 Exposure Prevention Plan,OPS,,,A
CERN,European Organization for Nuclear Research,Gen,,,A
CET,Community Engagement Team,OPS,,,A
CfA,(Harvard-Smithsonian) Center for Astrophysics,Gen,,,A
CFC,Carbon Fiber Composite,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CFD,computational fluid dynamics,TS,Document-12005,,A
CFHEX,counter flow heat exchanger,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CFHT,Canada-France-Hawaii Telescope,TS,Document-11945,,A
CFHT-LS,A 5-passband legacy imaging survey conducted at the Canada-France-Hawaii Telescope from 2003-2008,Sci,,,A
CFHTLS,Canada-France-Hawaii Telescope Legacy Survey,TS,Document-11959,,A
CFO,Chief Financial Officer,OPS,,,A
CFR,Code of Federal Regulations,OPS,,,A
CFS,Configuration File System,Gen,,,A
CGH,computer generated hologram,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CHEP,Computing in High Energy and Nuclear Physics,Sci,,,A
CHIME,Canadian Hydrogen Intensity Mapping Experiment,Sci,,,A
CI,Continuous Integration,DM,,,A
CI,Cyber Infrastructure,Sci,,,A
CIDR,Classless Inter-Domain Routing,DM,,,A
CIGALE,Code Investigating GALaxy Emission,Sci,https://cigale.lam.fr/,,A
CIS,Computer Infrastructure Support,TS,Document-11991,,A
CL,Command Language,Sci,IRAF,,A
CLI,Command Line Interface,IT,,,A
CLK,Clock,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CLO,community.lsst.org - use of this acronym is discouraged. The language that should be used in official documents is 'Community Forum' or 'Vera C. Rubin Community Forum',DM,,,A
CLP,Chilean Peso,OPS,,,A
CLT, Chile Standard Time (UTC-4),Gen,,,A
CM,Configuration Management,LSST DM,,,A
CMB,Cosmic Microwave Background,Sci OPS,,,A
CMB-S4,Cosmic Microwave Background Stage 4,Sci OPS,,,A
CMDB,Configuration Management Database,LSST DM,,,A
CMMS,Computerized Maintenance Management System,OPS,,,A
CMOS,complementary metal-oxide semiconductor,TS,Document-11961,,A
CMR,Characterization Metric Report,DM,,,A
CMS,Compact Muon Solenoid,Sci,,,A
CMS,Centralized Monitoring System),IT DM,,,A
CMS,Camera Management Service,CAM,,,A
CNN,Convolutional Neural Network,Sci,,,A
CNP,Conditional Neural Processes,Sci,,,A
CNPG,Cloud Native Postgres,DM,,,A
CNRS,Centre national de la recherche scientifique,Gen,,,A
CO,Carbon Monoxide,Sci,,,A
COB,Cluster On Board,CAM,,,A
COMP,Complete,PMO,,,A
COMPASS,Catalogues of Objects and Measured Parameters from All Sky Surveys,Gen,,,A
CORBA,Common Object Request Broker Architecture,Gen,,,A
CoRoT,"Convection, Rotation et Transits plan\'{e}taires",Gen,,,A
COS,Center Operations Services,OPS,,,A
COSMOS,Cosmic Evolution Survey,Sci,,,A
COTS,Commercial-Off-The-Shelf,Gen,,,A
COVID,COrona VIrus Disease,Gen,,,A
COVID19,COrona VIrus Disease 2019,Gen,,,A
CP,catalog prices,TS,Document-12022,,A
CP,Contingency Planning,DM,,,A
CPDS,Camera Power Distribution System,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CPI,Cost Performance Index,Gen,,,A
CPP,Calibration Production Processing,LSST DM,,,A
CPR,Cardiopulmonary resuscitation,Gen,,,A
CPS,Camera Protection System (confirmed in report),CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CPU,Central Processing Unit,Gen,,,A
CQA,Compliance and Quality Administrator,,,,A
CR,Change Request,LSST,,,A
CR,Cosmic Ray,Sci,,,A
CRAC,Computer Room Air Conditioner,Gen,,,A
CRAH,Computer Room Air Handling,Gen,,,A
CRB,cluster reference boards,TS,Document-11956,,A
CREC,Corner Raft Electronics Crate,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CRIC,Computing Resource Information Catalogue,DM,,,A
CRIO,CompactRIO National Instruments,TSSW,,,A
CRSA,Corner raft sensor assembly,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CRT,Corner Raft Tower,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CRTM,Corner raft tower module,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CRTS,Catalina Real-Time Transient Survey,Sci,,,A
CRTS3,Catalina Real-Time Transient Survey,TS,Document-12006,,A
CS,citizen science,TS,Document-11955,,A
CSA,Cooperative Support Agreement,Gen,,,A
CSC,Commandable SAL Component,TS,,SAL,A
CSDC,Community Science Data Center,OPS,,,A
CSM,Circum-Stellar Material,Sci,,,A
CST,Community Science Team,OPS,,,A
CSV,Comma Separated Values,Gen,,,A
CTA,Cherenkov Telescope Array \url{https://www.cta-observatory.org/},Gen,,,A
CTE,Charge Transfer Efficiency,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CTI,Charge Transfer Inefficiency,CAM,,,A
CTIO,Cerro Tololo Inter-American Observatory,Gen,,,A
CTN,Camera Technical Note,CAM,,,A
CUI,Controlled Unclassified Information,OPS,,,A
CV,Curriculum Vitae,Gen,,,A
CVE,Common Vulnerabilities and Exposures,IT,,,A
CVMFS,CernVM File System,DM,,,A
CVSS,Common Vulnerability Scoring System,IT,,,A
DAA,Dual Axis Actuator,TS,,,A
DAC,Data Access Center,LSST DM,,,A
DAF,data access framework,TS,Document-11936,,A
DALI,Data Access Layer Interface (IVOA standard),VO,,,A
DAPC,SLAC FPD Departmental Appointments and Promotion Committee,OPS,,,A
DAQ,Data Acquisition System,LSST DM,,,A
DAX,Data Access Services,LSST DM,,,A
DB,DataBase,Gen,,,A
Db,Decibel,Gen,,,A
DBA,database administrator,TS,Document-12019,,A
DBB,Data Backbone,LSST DM,,,A
DBBBM,Data Backbone Buffer Manager,DM,DMTN-154,DBB,A
DBMS,DataBase Management System,Gen,,,A
DC,Data Center,LSST DM,,,A
DC2,Data Challenge 2 (DESC),OPS,,,A
DCBS,Digital Clock and Bias Supply,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
DCI,DAQ-Control Interface ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
DCM,Directorate Communications Manager,OPS,,,A
DCR,Differential Chromatic Refraction,Gen,,,A
DCT,Discovery Channel Telescope (Lowell Observatory),TS,Document-11943,,A
DDF,Deep Drilling Field,OPS,,,A
DDM,Distributed Data Management,DM,,,A
DDMPM,Data Management Deputy Project Manager,LSST DM,,,A
DDN,Data Delivery Network,Gen,,,A
DDOS,Distributed Denial Of Service,IT Gen,,,A
DDP,Derived Data Products (e.g. Rubin/Euclid),OPS,,,A
DDS,Data Distribution System,TSSW,,,A
DE,dark energy,Sci,,,A
DE-AC02,Department of Energy contract number prefix,Gen,,,A
DEC,Declination,Gen,,,A
DECaLS,The Dark Energy Camera Legacy Survey,Sci,,,A
DECam,Dark Energy Camera,Sci,,,A
DECAT,DECam Alliance for Transients,Sci,,,A
DEEP,Deep Extragalactic Evolutionary Probe,Sci,,,A
DEI,"Diversity, Equity, and Inclusion",Gen,,,A
DELVE,DECam Local Volume Exploration Survey,Sci,,,A
DES,Dark Energy Survey,LSST DM OPS,,,A
DESC,Dark Energy Science Collaboration,LSST DM OPS,,,A
DESI,Dark Energy Spectroscopic Instrument,LSST DM OPS,,,A
DETF,Dark Energy Task Force (AAAC/HEPAP joint advisory sub-committee),TS,Document-12018,,A
DF,Data Facility,OPS DF DM,,,A
DHCP,Dynamic Host Configuration Protocol,IT,,,A
DHO,Damped Harmonic Oscillator,Sci,,,A
DIA,Difference Image Analysis,DM,,,A
DID,Data Identifier (Rucio),DM,,,A
DIMM,Differential Image Motion Monitor,Gen,,,A
DKIST,Daniel K. Inouye Solar Telescope,OPS,,,A
DLS,Deep Lens Survey,TS,Document-11937,,A
DM,Data Management,LSST DM,,,A
DM-SST,DM System Science Team,LSST DM,,DMSST,A
DMCCB,DM Change Control Board,LSST DM,,,A
DMCS,Data Management Control System,LSST DM,,,A
DMIS,DM Interface Scientist,LSST DM,,,A
DMLT,DM Leadership Team,LSST DM,,,A
DMO,Data Management Organization,LSST DM,,,A
DMOC,Data Management Operations Chile,TS,Document-11958,,A
DMOG,Data Management Operations Group,TS,Document-11960,,A
DMPM,Data Management Project Manager,LSST DM,,,A
DMQA,Data Management Quality Assurance,LSST DM,,,A
DMS,Data Management Subsystem,LSST DM,,,A
DMS-REQ,Data Management System Requirements prefix,DM,,,A
DMSE,Data Management System Engineer,LSST DM,,,A
DMSR,DM System Requirements; LSE-61,LSST DM,,,A
DMSS,DM Subsystem Scientist,LSST DM,,,A
DMSST,DM System Science Team,LSST DM,,DM-SST,A
DMTN,DM Technical Note,LSST DM,,,A
DMTR,DM Test Report,LSST DM,,,A
DNN,Deep Neural Network,Sci,,,A
DNS,Domain Name Service,OPS,,,A
DOE,Department of Energy,Gen,,,A
DoF,Degree(s) of Freedom (also known as DOF),Gen,,,A
DOF,Degree(s) of Freedom (also known as DoF),Gen,,,A
DOI,Digital Object Identifier,DM OPS,,,A
DOM,Document Object Model,Gen,,,A
DoNM,Date of Next Meeting,Gen,,,A
DOS,Data Operations Services,OPS,,,A
DOT,U.S. Department of Transportation,OPS,,,A
DP,Data Production,OPS,,,A
DP0,Data Preview 0,OPS,,,A
DP1,Data Preview 1,OPS,,,A
DP2,Data Preview 2,OPS,,,A
DPA,Data and Processing Architecture,OPS,,,A
DPAC,Data Processing and Analysis Consortium (Gaia),Gen,,,A
DPC,Data Policy Committee,OPS,,,A
DPDD,Data Product Definition Document,LSST DM,,,A
DPLT,DP Leadership Team,OPS,,,A
DPM,Data Processing Module,CAM,,,A
DPP,Data Products Processing,TS,Document-11940,,A
DPRPT,Data Preview and Release Planning Tool,OPS,RTN-005,,A
DQ,data quality,TS,Document-12020,,A
DQA,data quality assurance,TS,Document-11974,,A
DR,Data Release,LSST DM,,,A
DR1,Data Release 1,OPS,,,A
DR10,Data Release 10,OPS,,,A
DR11,Data Release 11,OPS,,,A
DR2,Data Release 2,OPS,,,A
DR3,Data Release 3,OPS,,,A
DRAGONS,Data Reduction for Astronomy from Gemini Observatory North and South,Sci,,,A
DRB,Data Release Board,OPS,,,A
DREAM,Dutch Rubin Enhanced Atmospheric Monitor,OPS,,,A
DREB,daughter readout electronics board,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
DRI,DAQ/Raft Interface,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
DRP,Data Release Processing,LSST DM,,,A
DRW,Damped Random Walk,Sci,,,A
DS9,Deep Space 9 (specific astronomical data visualisation application; SAOImage),Gen,,,A
DSFP,LSST-DA Data Science Fellowship Program,Gen,,,A
DSI,Dual Slope Integrator ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
DTM,Data Transport Module,CAM,,,A
DTN,Data Transfer Node,LSST DM,,,A
DUNE,Deep Underground Neutrino Experiment,Sci,,,A
Duo,2 factor authentication system,LSST DM,,,A
DWDM,Dense Wave Division Multiplex,Gen LSST DM,,,A
E2V,Teledyne-e2v semiconductor company,CAM,,,A
EA,enterprise architect,TS,Document-12035,,A
EAC,Estimate At Completion,LSST DM,,,A
EAS,Environmental Awareness System,TS,,,A
EB,ExaByte,Gen,,,A
EC2,Amazon Elastic Compute Cloud,DM,,,A
ECDFS,Extended Chandra Deep Field-South Survey,Sci,,,A
ECDM,Einstein-Cartan-Dirac-Maxwell cosmological model,Sci,,,A
ECM,Engineered Ceramic Materials,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),https://www.cesic.de/en,A
EDC,EPO Data Center,OPS EPO,,,A
EDFS,Euclid Deep Field South,Sci,,,A
EDR,early data release,TS,Document-11972,,A
EE,engineering estimate,TS,Document-12024,,A
EEPROM,Electrically Erasable Programmable Read-Only Memory,Gen,,,A
EFD,Engineering and Facility Database,LSST DM,,,A
EIE,European Industrial Engineering - Italian engineering company (Dome),LSST DM,,,A
EL,Elevation,Gen,,,A
ELAsTiCC,Extended LSST Astronomical Time Series Classification Challenge,Sci,,,A
ELG,Emission-Line Galaxies,Sci,,,A
ELM,Extremely Low Mass(Survey),Sci,,,A
ELT,Extremely Large Telescope,Sci,,,A
ELTP,Extremely Large Telescope Program,Sci,,,A
EM,Electro Magnetic,Sci,,,A
EMI,Electromagnetic Interference,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
EO,Electro Optical,CAM,,,A
EOL,End of Life,IT,,,A
EOS,Engineering Operations Services,OPS,,,A
EPA,Environmental Protection Agency,Gen,,,A
EPICS,Experimental Physics and Industrial Control System,TS,,,A
EPLS,Excludable Parties List,TS,Document-12007,,A
EPO,Education and Public Outreach,LSST DM,,,A
EPOC,Education and Public Outreach Center,OPS,,,A
ES,Early Science,OPS,,,A
ESA,European Space Agency,Gen,,,A
ESAC,European Space Astronomy Centre,Gen,,,A
ESAP,ESFRI Science Analysis Platform,Gen,,,A
ESCAPE,European Science Cluster of Astronomy \& Particle physics ESFRI research infrastructures,Gen,,,A
ESD,electrostatic discharge,TS,Document-12002,,A
ESFRI,European Strategy Forum on Research Infrastructures,Gen,,,A
ESNet,Energy Sciences Network,Gen,,,A
ESO,European Southern Observatory,OPS,,,A
ESP,Early Science Program,OPS,,,A
ESS,Environmental Sensors Support,TS,https://obs-ops.lsst.io/Observatory-Control-System/EAS/ESS/index.html,,A
ET,exposure time,TS,Document-12010,,A
ETC,Estimate To Complete,Gen LSST DM,,,A
ETL,extract-transform-load,TS,Document-11957,,A
ETS,engineering and technical devices,TS,Document-11952,,A
ETU,Engineering Test Unit,LSST DM,,,A
EUI,Engineering User Interface System,PSE,,,A
EUPS,Extended Unix Product System,LSST DM,,,A
eV,electron-Volt,Gen,,,A
EVM,Earned Value Management,Adm Gen,,,A
EVMS,Earned Value Management System,Adm Gen,,,A
EXCH,Filter Exchange subsystem,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
EXIST,Energetic X-ray Imaging Survey Telescope,TS,Document-12026,,A
F2F,Face 2 Face (meeting),DM,,,A
FAA,U.S. Federal Aviation Administration,,,,A
FACTS,Foreign Access Central Tracking System,DM,,,A
FAFF,First-Look Analysis and Feedback Functionality,TS,,,A
FAIR,"Findable, Accessible, Interoperable and Reusable",DM,,,A
FAQ,Frequently Asked Question,Gen,,,A
FAR,Federal Acquisition Regulations,TS,Document-11992,,A
FATC,Financial and Administrative Terms and Conditions,OPS,,,A
FBOT,Fast blue optical transient,Sci,,,A
FBOTs,Fast blue optical transients,Sci,,,A
FBS,Feature-Based Scheduler,Sims,,,A
FCS,Filter Changer System,TS,,,A
FCU,Fain Coil Unit,TS,,,A
FDP,federated data product,TS,Document-11990,,A
FDQN,Fully Qualified Domain Name,DM,,,A
FDR,Final Design Review,LSST DM,,,A
FEA,Finite Element Analysis,OPS,,,A
FEC,Front-End Cage,TS,,,A
FED,Front End Driver ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
FEE,Front-End Electronics,TS,,,A
FELTs,Fast-Evolving Luminous Transients,Sci,,,A
FES,Filter Exchange System,CAM,,,A
FET,Field Effect Transistor,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
FFRDC,Federally Funded Research and Development Center,Gen OPS,,,A
FFT,Fast Fourier Transform,Gen,,,A
FGCM,Forward Global Calibration Method,DM,,,A
FGST,Fermi Gamma-ray Space Telescope,Sci OPS,,,A
FIFO,First In First Out,Gen,,,A
FIPS,Federal Information Processing Standards,OPS,,,A
FITS,Flexible Image Transport System,Gen,,,A
FIU,Florida International University,Gen,,,A
FK5,Fifth Fundamental Catalogue,Gen,,,A
FLOP,FLoating point Operation,IT,,,A
FLOPS,FLoating point Operation per Second,IT,,,A
FMEA,failure modes and effect analysis,TS,Document-11942,,A
FMECA,"Failure Modes, Effects, and Causality Analysis",OPS,,,A
FNAL,Fermi National Accelerator Lab,OPS,,,A
FOA,Funding Opportunity Announcement,Sci,,,A
FOA,Facilities Operations in Arizona,OPS,,,A
FOC,Facilities Operations in Chile,OPS,,,A
FOH,Facilities Operations in Hawai,OPS,,,A
FOIA,Freedom Of Information Act,OPS,,,A
FoM,Figure of Merit,Gen,,,A
FoV,Field of View (also denoted FOV),Gen,,,A
FOV,field of view,TS,Document-11964,,A
FP,Focal Plane,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
FPA,Focal Plane Array,LSST,,,A
FPD,Fundamental Physics Directorate,OPS,,,A
FPGA,Field-Programmable Gate Array,Gen,,,A
FPRD,functional performance requirements document,TS,Document-11947,,A
FPSL,Forced-Photometry Sensitivity Limit,TS,,,A
FRACAS,Failure Reporting Analysis and Corrective Action System,PSE,,,A
FrDF,French Data Facility,OPS,,,A
FRDF,French Data Facility,OPS,,,A
FRED,optical simulation software,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
FreeIPA,is an integrated security information management solution,DM,https://www.freeipa.org/page/Main_Page,,A
FS,File System,Gen,,,A
FSAAS,Filesystem as a Service, IT,,,A
FTE,Full-Time Equivalent,Adm Gen,,,A
FTS,File Transfer Service,OPS,,,A
FTS3,File Transfer Service 3,OPS,,,A
FUSE,a user space filesystem framework,IT,,,A
FWHM,Full Width at Half-Maximum,Gen,,,A
FWP,Field Work Proposals,OPS,,,A
FY,Financial Year,OPS DM,,,A
FY20,Financial Year 20,OPS,,,A
FY21,Financial Year 21,OPS,,,A
FY22,Financial Year 22,OPS,,,A
FY23,Financial Year 23,OPS,,,A
FY24,Financial Year 24,OPS,,,A
FY25,Financial Year 25,OPS,,,A
G6,Group/Gang of 6 SIT-Com leads,LSST,,,A
GAaP,Gaussian Aperture and PSF,DM,,,A
GALAH,GALactic Archaeology with HERMES,DM,,,A
GALEX,Galaxy Evolution Explorer,OPS,,,A
GAMA,Galaxy And Mass Assembly (survey),Sci,,,A
GAR,Google Archive Registry,DM,,,A
GAS,Guider Array Subsystem,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
GAVO,German Astronomical Virtual Observatory,Gen,,,A
GB,Gigabyte,Gen,,,A
Gb,Gigabit,Gen,,,A
GBDES,Gary Bernstein Dark Energy Survey,Sci,,,A
